"year","actual_time_taken"
"2013","{""hours"":2,""minutes"":17,""seconds"":13,""milliseconds"":712.533}"
"1993","{""hours"":2,""minutes"":15,""seconds"":35,""milliseconds"":481.806}"
"2002","{""hours"":2,""minutes"":13,""seconds"":39,""milliseconds"":915.69}"
"2008","{""hours"":2,""minutes"":13,""seconds"":3,""milliseconds"":770.202}"
"2022","{""hours"":2,""minutes"":13,""seconds"":2,""milliseconds"":3.698}"
"1995","{""hours"":2,""minutes"":13,""milliseconds"":53.404}"
"2016","{""hours"":2,""minutes"":12,""seconds"":50,""milliseconds"":458.354}"
"2011","{""hours"":2,""minutes"":12,""seconds"":19,""milliseconds"":240.745}"
"2020","{""hours"":2,""minutes"":11,""seconds"":58,""milliseconds"":890.476}"
"2012","{""hours"":2,""minutes"":11,""seconds"":47,""milliseconds"":533.684}"
"2021","{""hours"":2,""minutes"":11,""seconds"":44,""milliseconds"":547.326}"
"2009","{""hours"":2,""minutes"":11,""seconds"":18,""milliseconds"":622.594}"
"2007","{""hours"":2,""minutes"":11,""seconds"":8,""milliseconds"":918.642}"
"2010","{""hours"":2,""minutes"":11,""seconds"":7,""milliseconds"":808.24}"
"1999","{""hours"":2,""minutes"":11,""seconds"":5,""milliseconds"":102.046}"
"1996","{""hours"":2,""minutes"":11,""milliseconds"":84.763}"
"2000","{""hours"":2,""minutes"":10,""seconds"":55,""milliseconds"":241.739}"
"2019","{""hours"":2,""minutes"":10,""seconds"":40,""milliseconds"":488.303}"
"1994","{""hours"":2,""minutes"":10,""seconds"":38,""milliseconds"":998.756}"
"2018","{""hours"":2,""minutes"":10,""seconds"":37,""milliseconds"":13.92}"
"2001","{""hours"":2,""minutes"":10,""seconds"":34,""milliseconds"":39.781}"
"2004","{""hours"":2,""minutes"":10,""seconds"":29,""milliseconds"":774.281}"
"2006","{""hours"":2,""minutes"":10,""seconds"":15,""milliseconds"":623.512}"
"2014","{""hours"":2,""minutes"":10,""seconds"":5,""milliseconds"":558.445}"
"1997","{""hours"":2,""minutes"":9,""seconds"":46,""milliseconds"":934.207}"
"2015","{""hours"":2,""minutes"":9,""seconds"":36,""milliseconds"":903.552}"
"1992","{""hours"":2,""minutes"":9,""seconds"":32,""milliseconds"":62.921}"
"2005","{""hours"":2,""minutes"":9,""milliseconds"":174.073}"
"2017","{""hours"":2,""minutes"":8,""seconds"":39,""milliseconds"":348.444}"
"2003","{""hours"":2,""minutes"":8,""seconds"":36,""milliseconds"":218.084}"
"1998","{""hours"":2,""minutes"":8,""seconds"":6,""milliseconds"":538.161}"
