"year","actual_time_taken"
"2013","{""hours"":2,""minutes"":17,""seconds"":12,""milliseconds"":300.182}"
"1993","{""hours"":2,""minutes"":15,""seconds"":35,""milliseconds"":857.327}"
"2002","{""hours"":2,""minutes"":13,""seconds"":50,""milliseconds"":412.529}"
"2022","{""hours"":2,""minutes"":13,""seconds"":6,""milliseconds"":313.993}"
"2008","{""hours"":2,""minutes"":13,""seconds"":2,""milliseconds"":803.08}"
"1995","{""hours"":2,""minutes"":12,""seconds"":58,""milliseconds"":972.925}"
"2016","{""hours"":2,""minutes"":12,""seconds"":58,""milliseconds"":124.905}"
"2011","{""hours"":2,""minutes"":12,""seconds"":19,""milliseconds"":17.623}"
"2020","{""hours"":2,""minutes"":12,""seconds"":3,""milliseconds"":535.204}"
"2012","{""hours"":2,""minutes"":11,""seconds"":58,""milliseconds"":69.104}"
"2021","{""hours"":2,""minutes"":11,""seconds"":56,""milliseconds"":199.548}"
"2009","{""hours"":2,""minutes"":11,""seconds"":18,""milliseconds"":413.543}"
"2010","{""hours"":2,""minutes"":11,""seconds"":13,""milliseconds"":985.272}"
"2007","{""hours"":2,""minutes"":11,""seconds"":8,""milliseconds"":939.122}"
"1999","{""hours"":2,""minutes"":11,""seconds"":6,""milliseconds"":563.482}"
"1996","{""hours"":2,""minutes"":10,""seconds"":59,""milliseconds"":163.022}"
"2000","{""hours"":2,""minutes"":10,""seconds"":54,""milliseconds"":498.758}"
"2019","{""hours"":2,""minutes"":10,""seconds"":47,""milliseconds"":79.871}"
"1994","{""hours"":2,""minutes"":10,""seconds"":43,""milliseconds"":552.599}"
"2001","{""hours"":2,""minutes"":10,""seconds"":38,""milliseconds"":953.766}"
"2018","{""hours"":2,""minutes"":10,""seconds"":35,""milliseconds"":807.157}"
"2004","{""hours"":2,""minutes"":10,""seconds"":32,""milliseconds"":996.037}"
"2006","{""hours"":2,""minutes"":10,""seconds"":20,""milliseconds"":328.044}"
"2014","{""hours"":2,""minutes"":10,""seconds"":7,""milliseconds"":507.304}"
"1997","{""hours"":2,""minutes"":9,""seconds"":58,""milliseconds"":199.308}"
"2015","{""hours"":2,""minutes"":9,""seconds"":37,""milliseconds"":417.016}"
"1992","{""hours"":2,""minutes"":9,""seconds"":32,""milliseconds"":62.921}"
"2005","{""hours"":2,""minutes"":8,""seconds"":59,""milliseconds"":660.53}"
"2017","{""hours"":2,""minutes"":8,""seconds"":46,""milliseconds"":828.025}"
"2003","{""hours"":2,""minutes"":8,""seconds"":45,""milliseconds"":491.916}"
"1998","{""hours"":2,""minutes"":8,""seconds"":7,""milliseconds"":956.363}"
